File name (category),Version,Level,Count
__init__.py (requests),v2.27.0,A1,38
__init__.py (requests),v2.27.1,A1,38
__init__.py (requests),v2.28.0,A1,38
__init__.py (requests),v2.28.1,A1,38
__init__.py (requests),v2.28.2,A1,38
__init__.py (requests),v2.29.0,A1,38
__init__.py (requests),v2.30.0,A1,39
__init__.py (requests),v2.31.0,A1,39
__init__.py (tests),v2.29.0,A1,1
__init__.py (tests),v2.30.0,A1,1
__init__.py (tests),v2.31.0,A1,1
__version__.py (requests),v2.27.0,A1,10
__version__.py (requests),v2.27.1,A1,10
__version__.py (requests),v2.28.0,A1,10
__version__.py (requests),v2.28.1,A1,10
__version__.py (requests),v2.28.2,A1,10
__version__.py (requests),v2.29.0,A1,10
__version__.py (requests),v2.30.0,A1,10
__version__.py (requests),v2.31.0,A1,10
_internal_utils.py (requests),v2.27.0,A1,9
_internal_utils.py (requests),v2.27.1,A1,9
_internal_utils.py (requests),v2.28.0,A1,14
_internal_utils.py (requests),v2.28.1,A1,14
_internal_utils.py (requests),v2.28.2,A1,14
_internal_utils.py (requests),v2.29.0,A1,16
_internal_utils.py (requests),v2.30.0,A1,16
_internal_utils.py (requests),v2.31.0,A1,16
adapters.py (requests),v2.27.0,A1,135
adapters.py (requests),v2.27.1,A1,135
adapters.py (requests),v2.28.0,A1,133
adapters.py (requests),v2.28.1,A1,133
adapters.py (requests),v2.28.2,A1,133
adapters.py (requests),v2.29.0,A1,124
adapters.py (requests),v2.30.0,A1,124
adapters.py (requests),v2.31.0,A1,124
api.py (requests),v2.27.0,A1,8
api.py (requests),v2.27.1,A1,8
api.py (requests),v2.28.0,A1,8
api.py (requests),v2.28.1,A1,8
api.py (requests),v2.28.2,A1,8
api.py (requests),v2.29.0,A1,8
api.py (requests),v2.30.0,A1,8
api.py (requests),v2.31.0,A1,8
auth.py (requests),v2.27.0,A1,143
auth.py (requests),v2.27.1,A1,143
auth.py (requests),v2.28.0,A1,135
auth.py (requests),v2.28.1,A1,135
auth.py (requests),v2.28.2,A1,135
auth.py (requests),v2.29.0,A1,135
auth.py (requests),v2.30.0,A1,135
auth.py (requests),v2.31.0,A1,135
certs.py (requests),v2.27.0,A1,1
certs.py (requests),v2.27.1,A1,1
certs.py (requests),v2.28.0,A1,1
certs.py (requests),v2.28.1,A1,1
certs.py (requests),v2.28.2,A1,1
certs.py (requests),v2.29.0,A1,1
certs.py (requests),v2.30.0,A1,1
certs.py (requests),v2.31.0,A1,1
compat.py (requests),v2.27.0,A1,26
compat.py (requests),v2.27.1,A1,26
compat.py (requests),v2.28.0,A1,15
compat.py (requests),v2.28.1,A1,15
compat.py (requests),v2.28.2,A1,15
compat.py (requests),v2.29.0,A1,15
compat.py (requests),v2.30.0,A1,15
compat.py (requests),v2.31.0,A1,15
compat.py (tests),v2.27.0,A1,6
compat.py (tests),v2.27.1,A1,6
compat.py (tests),v2.28.0,A1,3
compat.py (tests),v2.28.1,A1,3
compat.py (tests),v2.28.2,A1,3
compat.py (tests),v2.29.0,A1,3
compat.py (tests),v2.30.0,A1,3
compat.py (tests),v2.31.0,A1,3
conf.py (docs),v2.27.0,A1,50
conf.py (docs),v2.27.1,A1,50
conf.py (docs),v2.28.0,A1,50
conf.py (docs),v2.28.1,A1,50
conf.py (docs),v2.28.2,A1,50
conf.py (docs),v2.29.0,A1,50
conf.py (docs),v2.30.0,A1,50
conf.py (docs),v2.31.0,A1,50
conftest.py (tests),v2.27.0,A1,19
conftest.py (tests),v2.27.1,A1,19
conftest.py (tests),v2.28.0,A1,19
conftest.py (tests),v2.28.1,A1,19
conftest.py (tests),v2.28.2,A1,19
conftest.py (tests),v2.29.0,A1,19
conftest.py (tests),v2.30.0,A1,19
conftest.py (tests),v2.31.0,A1,19
cookies.py (requests),v2.27.0,A1,178
cookies.py (requests),v2.27.1,A1,178
cookies.py (requests),v2.28.0,A1,175
cookies.py (requests),v2.28.1,A1,175
cookies.py (requests),v2.28.2,A1,175
