File name (category),Version,Level,Count
__init__.py (requests),v2.27.0,B1,22
__init__.py (requests),v2.27.1,B1,22
__init__.py (requests),v2.28.0,B1,19
__init__.py (requests),v2.28.1,B1,19
__init__.py (requests),v2.28.2,B1,19
__init__.py (requests),v2.29.0,B1,19
__init__.py (requests),v2.30.0,B1,19
__init__.py (requests),v2.31.0,B1,19
__init__.py (tests),v2.29.0,B1,1
__init__.py (tests),v2.30.0,B1,1
__init__.py (tests),v2.31.0,B1,1
_internal_utils.py (requests),v2.27.0,B1,2
_internal_utils.py (requests),v2.27.1,B1,2
_internal_utils.py (requests),v2.28.0,B1,2
_internal_utils.py (requests),v2.28.1,B1,2
_internal_utils.py (requests),v2.28.2,B1,2
_internal_utils.py (requests),v2.29.0,B1,2
_internal_utils.py (requests),v2.30.0,B1,2
_internal_utils.py (requests),v2.31.0,B1,2
adapters.py (requests),v2.27.0,B1,48
adapters.py (requests),v2.27.1,B1,48
adapters.py (requests),v2.28.0,B1,47
adapters.py (requests),v2.28.1,B1,47
adapters.py (requests),v2.28.2,B1,47
adapters.py (requests),v2.29.0,B1,45
adapters.py (requests),v2.30.0,B1,45
adapters.py (requests),v2.31.0,B1,45
api.py (requests),v2.27.0,B1,10
api.py (requests),v2.27.1,B1,10
api.py (requests),v2.28.0,B1,10
api.py (requests),v2.28.1,B1,10
api.py (requests),v2.28.2,B1,10
api.py (requests),v2.29.0,B1,10
api.py (requests),v2.30.0,B1,10
api.py (requests),v2.31.0,B1,10
auth.py (requests),v2.27.0,B1,13
auth.py (requests),v2.27.1,B1,13
auth.py (requests),v2.28.0,B1,13
auth.py (requests),v2.28.1,B1,13
auth.py (requests),v2.28.2,B1,13
auth.py (requests),v2.29.0,B1,13
auth.py (requests),v2.30.0,B1,13
auth.py (requests),v2.31.0,B1,13
compat.py (requests),v2.27.0,B1,5
compat.py (requests),v2.27.1,B1,5
compat.py (requests),v2.28.0,B1,5
compat.py (requests),v2.28.1,B1,5
compat.py (requests),v2.28.2,B1,5
compat.py (requests),v2.29.0,B1,5
compat.py (requests),v2.30.0,B1,5
compat.py (requests),v2.31.0,B1,5
compat.py (tests),v2.27.0,B1,4
compat.py (tests),v2.27.1,B1,4
compat.py (tests),v2.28.0,B1,4
compat.py (tests),v2.28.1,B1,4
compat.py (tests),v2.28.2,B1,4
compat.py (tests),v2.29.0,B1,4
compat.py (tests),v2.30.0,B1,4
compat.py (tests),v2.31.0,B1,4
conf.py (docs),v2.27.0,B1,1
conf.py (docs),v2.27.1,B1,1
conf.py (docs),v2.28.0,B1,1
conf.py (docs),v2.28.1,B1,1
conf.py (docs),v2.28.2,B1,1
conf.py (docs),v2.29.0,B1,1
conf.py (docs),v2.30.0,B1,1
conf.py (docs),v2.31.0,B1,1
conftest.py (tests),v2.27.0,B1,2
conftest.py (tests),v2.27.1,B1,2
conftest.py (tests),v2.28.0,B1,2
conftest.py (tests),v2.28.1,B1,2
conftest.py (tests),v2.28.2,B1,2
conftest.py (tests),v2.29.0,B1,2
conftest.py (tests),v2.30.0,B1,2
conftest.py (tests),v2.31.0,B1,2
cookies.py (requests),v2.27.0,B1,26
cookies.py (requests),v2.27.1,B1,26
cookies.py (requests),v2.28.0,B1,26
cookies.py (requests),v2.28.1,B1,26
cookies.py (requests),v2.28.2,B1,26
cookies.py (requests),v2.29.0,B1,26
cookies.py (requests),v2.30.0,B1,26
cookies.py (requests),v2.31.0,B1,26
exceptions.py (requests),v2.27.0,B1,28
exceptions.py (requests),v2.27.1,B1,28
exceptions.py (requests),v2.28.0,B1,29
