File name (category),Version,Level,Count
__init__.py (requests),v2.27.0,C2,1
__init__.py (requests),v2.27.1,C2,1
__init__.py (requests),v2.28.0,C2,1
__init__.py (requests),v2.28.1,C2,1
__init__.py (requests),v2.28.2,C2,1
__init__.py (requests),v2.29.0,C2,1
__init__.py (requests),v2.30.0,C2,1
__init__.py (requests),v2.31.0,C2,1
adapters.py (requests),v2.27.0,C2,2
adapters.py (requests),v2.27.1,C2,2
adapters.py (requests),v2.28.0,C2,2
adapters.py (requests),v2.28.1,C2,2
adapters.py (requests),v2.28.2,C2,2
adapters.py (requests),v2.29.0,C2,2
adapters.py (requests),v2.30.0,C2,2
adapters.py (requests),v2.31.0,C2,2
cookies.py (requests),v2.27.0,C2,3
cookies.py (requests),v2.27.1,C2,3
cookies.py (requests),v2.28.0,C2,3
cookies.py (requests),v2.28.1,C2,3
cookies.py (requests),v2.28.2,C2,3
cookies.py (requests),v2.29.0,C2,3
cookies.py (requests),v2.30.0,C2,3
cookies.py (requests),v2.31.0,C2,3
exceptions.py (requests),v2.27.0,C2,1
exceptions.py (requests),v2.27.1,C2,1
exceptions.py (requests),v2.28.0,C2,1
exceptions.py (requests),v2.28.1,C2,1
exceptions.py (requests),v2.28.2,C2,1
exceptions.py (requests),v2.29.0,C2,1
exceptions.py (requests),v2.30.0,C2,1
exceptions.py (requests),v2.31.0,C2,1
server.py (testserver),v2.27.0,C2,1
server.py (testserver),v2.27.1,C2,1
server.py (testserver),v2.28.0,C2,1
server.py (testserver),v2.28.1,C2,1
server.py (testserver),v2.28.2,C2,1
server.py (testserver),v2.29.0,C2,1
server.py (testserver),v2.30.0,C2,1
server.py (testserver),v2.31.0,C2,1
structures.py (requests),v2.27.0,C2,1
structures.py (requests),v2.27.1,C2,1
structures.py (requests),v2.28.0,C2,1
structures.py (requests),v2.28.1,C2,1
structures.py (requests),v2.28.2,C2,1
structures.py (requests),v2.29.0,C2,1
structures.py (requests),v2.30.0,C2,1
structures.py (requests),v2.31.0,C2,1
